gender,race/ethnicity,parental level of education,math score,reading score,writing score,percentage,grade,extracurricular activities,ielts,financial sponsorship,visa eligible
male,group D,high school,69,75,71,71.66666667,C,arts,8.6,family-sponsored,no
male,group C,some college,69,64,68,67,C,volunteering,6.6,government-funded,no
female,group C,bachelor's degree,50,60,59,56.33333333,C,volunteering,5.9,family-sponsored,no
male,group B,some college,87,84,86,85.66666667,B,sports,7.7,self-funded,yes
male,group D,some high school,71,69,68,69.33333333,C,volunteering,5,government-funded,yes
male,group E,some college,68,72,65,68.33333333,C,none,6.8,self-funded,no
male,group C,master's degree,79,77,75,77,B,none,5.6,government-funded,yes
female,group C,some high school,77,90,85,84,B,volunteering,6.3,family-sponsored,yes
male,group C,associate's degree,58,55,53,55.33333333,C,none,5.6,scholarship,no
female,group E,associate's degree,84,95,92,90.33333333,A,sports,7.3,scholarship,no
male,group D,some college,55,58,52,55,C,sports,5.3,family-sponsored,no
male,group E,bachelor's degree,70,68,72,70,C,arts,5,family-sponsored,yes
female,group D,some college,52,59,65,58.66666667,C,none,8.4,self-funded,yes
male,group B,some college,69,77,77,74.33333333,C,multiple,5.6,scholarship,yes
female,group C,high school,53,72,64,63,C,volunteering,5.2,self-funded,no
female,group D,some high school,48,58,54,53.33333333,C,arts,5.4,scholarship,no
male,group D,some high school,78,81,86,81.66666667,B,none,6.6,self-funded,yes
female,group B,high school,62,62,63,62.33333333,C,none,6.9,family-sponsored,no
male,group D,some college,60,63,59,60.66666667,C,none,5,family-sponsored,no
female,group B,high school,74,72,72,72.66666667,C,sports,5,self-funded,no
female,group C,high school,58,75,77,70,C,sports,6,scholarship,yes
male,group B,high school,76,62,60,66,C,sports,6.7,government-funded,yes
female,group D,some high school,68,71,75,71.33333333,C,sports,8,family-sponsored,no
male,group A,some college,58,60,57,58.33333333,C,sports,7.8,self-funded,no
male,group B,high school,52,48,49,49.66666667,F,multiple,5.6,self-funded,no
male,group D,bachelor's degree,75,73,74,74,C,none,7.3,self-funded,no
female,group B,some high school,52,67,72,63.66666667,C,sports,7.4,family-sponsored,yes
female,group C,bachelor's degree,62,78,79,73,C,sports,7.8,self-funded,no
male,group B,some college,66,65,60,63.66666667,C,multiple,7.8,government-funded,no
female,group B,some high school,49,58,55,54,C,multiple,8.8,family-sponsored,no
female,group B,high school,66,72,70,69.33333333,C,arts,7.1,self-funded,no
female,group C,some college,35,44,43,40.66666667,F,sports,6.6,scholarship,no
female,group A,some college,72,79,82,77.66666667,B,sports,6,government-funded,yes
male,group E,associate's degree,94,85,82,87,B,volunteering,6,scholarship,yes
female,group D,associate's degree,46,56,57,53,C,none,5.8,government-funded,no
female,group B,master's degree,77,90,84,83.66666667,B,arts,5,self-funded,no
female,group B,high school,76,85,82,81,B,none,8.2,scholarship,yes
female,group C,associate's degree,52,59,62,57.66666667,C,volunteering,5.6,family-sponsored,yes
male,group C,bachelor's degree,91,81,79,83.66666667,B,volunteering,6.2,scholarship,yes
female,group B,some high school,32,51,44,42.33333333,F,multiple,7.4,scholarship,yes
female,group E,some high school,72,79,77,76,B,sports,5.7,scholarship,no
female,group B,some college,19,38,32,29.66666667,F,volunteering,6.2,self-funded,no
male,group C,associate's degree,68,65,61,64.66666667,C,arts,6.8,scholarship,no
female,group C,master's degree,52,65,61,59.33333333,C,sports,5,scholarship,no
female,group B,high school,48,62,60,56.66666667,C,multiple,5.9,government-funded,no
female,group D,some college,60,66,70,65.33333333,C,sports,7.3,self-funded,no
male,group D,high school,66,74,69,69.66666667,C,sports,5.4,government-funded,no
male,group E,some high school,89,84,77,83.33333333,B,sports,5.3,scholarship,yes
female,group B,high school,42,52,51,48.33333333,F,volunteering,8.3,government-funded,no
female,group E,associate's degree,57,68,73,66,C,none,5,scholarship,yes
male,group D,high school,70,70,70,70,C,arts,5.7,self-funded,no
female,group E,associate's degree,70,84,81,78.33333333,B,none,6.6,scholarship,no
male,group E,some college,69,60,54,61,C,multiple,7.2,government-funded,no
female,group C,associate's degree,52,55,57,54.66666667,C,sports,6.7,scholarship,no
male,group C,some high school,67,73,68,69.33333333,C,volunteering,6.3,self-funded,yes
male,group C,some high school,76,80,73,76.33333333,B,multiple,7.6,self-funded,yes
female,group E,associate's degree,87,94,95,92,A,none,8.7,self-funded,no
female,group B,some college,82,85,87,84.66666667,B,arts,6.6,scholarship,no
female,group C,some college,73,76,78,75.66666667,B,multiple,9,government-funded,no
male,group A,some college,75,81,74,76.66666667,B,none,8.3,family-sponsored,no
female,group D,some college,64,74,75,71,C,sports,9,self-funded,no
female,group E,high school,41,45,40,42,F,none,7.5,self-funded,no
male,group C,high school,90,75,69,78,B,sports,8.6,scholarship,no
male,group B,bachelor's degree,59,54,51,54.66666667,C,sports,7.5,self-funded,no
male,group A,some high school,51,31,36,39.33333333,F,volunteering,6.7,scholarship,no
male,group A,high school,45,47,49,47,F,sports,7.1,scholarship,no
female,group C,master's degree,54,64,67,61.66666667,C,sports,7.2,self-funded,yes
male,group E,some high school,87,84,76,82.33333333,B,none,6.3,government-funded,yes
female,group C,high school,72,80,83,78.33333333,B,volunteering,5.6,self-funded,no
male,group B,some high school,94,86,87,89,B,multiple,8.5,government-funded,yes
female,group A,bachelor's degree,45,59,64,56,C,none,7.6,government-funded,no
male,group D,bachelor's degree,61,70,76,69,C,multiple,5.4,government-funded,yes
female,group B,high school,60,72,68,66.66666667,C,none,7.7,self-funded,no
female,group C,some high school,77,91,88,85.33333333,B,volunteering,7.4,family-sponsored,no
female,group A,some high school,85,90,92,89,B,sports,5.3,self-funded,yes
female,group D,bachelor's degree,78,90,93,87,B,multiple,6.5,family-sponsored,no
male,group E,some college,49,52,51,50.66666667,C,volunteering,8.2,family-sponsored,yes
female,group B,high school,71,87,82,80,B,arts,7.6,self-funded,no
female,group C,some high school,48,58,52,52.66666667,C,arts,5,government-funded,no
male,group C,high school,62,67,58,62.33333333,C,none,7.5,self-funded,no
female,group C,associate's degree,56,68,70,64.66666667,C,volunteering,6.3,scholarship,yes
female,group C,some high school,65,69,76,70,C,multiple,8.3,government-funded,no
female,group D,some high school,69,86,81,78.66666667,B,sports,6.9,scholarship,yes
male,group B,some high school,68,54,53,58.33333333,C,volunteering,7.9,government-funded,no
female,group A,some college,61,60,57,59.33333333,C,multiple,5.9,family-sponsored,no
female,group C,bachelor's degree,74,86,89,83,B,sports,8.8,self-funded,yes
male,group A,bachelor's degree,64,60,58,60.66666667,C,volunteering,6.9,government-funded,no
female,group B,high school,77,82,89,82.66666667,B,arts,7.7,scholarship,yes
male,group B,some college,58,50,45,51,C,none,7.1,family-sponsored,no
female,group C,high school,60,64,74,66,C,multiple,7.6,family-sponsored,yes
male,group E,high school,73,64,57,64.66666667,C,none,9,government-funded,no
female,group A,high school,75,82,79,78.66666667,B,volunteering,6.5,government-funded,yes
male,group B,associate's degree,58,57,53,56,C,multiple,6.3,self-funded,yes
female,group C,associate's degree,66,77,73,72,C,arts,7.6,family-sponsored,no
female,group D,high school,39,52,46,45.66666667,F,none,7.7,government-funded,no
male,group C,some high school,64,58,51,57.66666667,C,volunteering,5.4,government-funded,no
female,group B,high school,23,44,36,34.33333333,F,multiple,5.1,government-funded,yes
male,group B,some college,74,77,76,75.66666667,B,sports,5,government-funded,yes
female,group D,some high school,40,65,64,56.33333333,C,arts,8.4,scholarship,yes
male,group E,master's degree,90,85,84,86.33333333,B,volunteering,8.7,self-funded,no
male,group C,master's degree,91,85,85,87,B,none,8.1,family-sponsored,yes
male,group D,high school,64,54,50,56,C,multiple,6.3,government-funded,no
female,group C,high school,59,72,68,66.33333333,C,volunteering,5.2,scholarship,no
male,group D,associate's degree,80,75,69,74.66666667,C,arts,6.8,family-sponsored,no
male,group C,master's degree,71,67,67,68.33333333,C,sports,5.3,family-sponsored,no
female,group A,high school,61,68,63,64,C,volunteering,7.8,government-funded,no
female,group E,some college,87,85,93,88.33333333,B,none,5.8,government-funded,no
male,group E,some high school,82,67,61,70,C,none,7.7,family-sponsored,no
male,group C,some high school,62,64,55,60.33333333,C,sports,7.4,self-funded,no
female,group B,bachelor's degree,97,97,96,96.66666667,A,arts,8.4,scholarship,no
male,group B,some college,75,68,65,69.33333333,C,arts,7.6,self-funded,no
female,group C,bachelor's degree,65,79,81,75,B,sports,7.5,scholarship,no
male,group B,high school,52,49,46,49,F,multiple,5.4,family-sponsored,yes
male,group C,associate's degree,87,73,72,77.33333333,B,arts,8.4,government-funded,no
female,group C,associate's degree,53,62,53,56,C,arts,7.3,self-funded,no
female,group E,master's degree,81,86,87,84.66666667,B,none,5.8,government-funded,no
male,group D,bachelor's degree,39,42,38,39.66666667,F,multiple,5.8,self-funded,yes
female,group C,some college,71,71,80,74,C,arts,5.8,scholarship,yes
male,group C,associate's degree,97,93,91,93.66666667,A,arts,8.5,self-funded,no
male,group D,some college,82,82,88,84,B,none,5.2,self-funded,yes
male,group C,high school,59,53,52,54.66666667,C,volunteering,7,government-funded,no
male,group B,associate's degree,61,42,41,48,F,none,5.8,family-sponsored,no
male,group E,associate's degree,78,74,72,74.66666667,C,arts,7.5,scholarship,yes
male,group C,associate's degree,49,51,51,50.33333333,C,sports,6.3,government-funded,no
male,group B,high school,59,58,47,54.66666667,C,sports,7.1,government-funded,no
female,group C,some college,70,72,76,72.66666667,C,multiple,6.6,self-funded,yes
male,group B,associate's degree,82,84,78,81.33333333,B,multiple,5,scholarship,yes
male,group E,associate's degree,90,90,82,87.33333333,B,sports,6.8,family-sponsored,no
female,group C,bachelor's degree,43,62,61,55.33333333,C,arts,5,government-funded,no
male,group C,some college,80,64,66,70,C,arts,6.3,family-sponsored,no
male,group D,some college,81,82,84,82.33333333,B,arts,6.5,family-sponsored,no
male,group C,some high school,57,61,54,57.33333333,C,sports,7.1,scholarship,no
female,group D,some high school,59,72,80,70.33333333,C,arts,7.1,government-funded,no
female,group D,associate's degree,64,76,74,71.33333333,C,volunteering,7,self-funded,no
male,group C,bachelor's degree,63,64,66,64.33333333,C,volunteering,8.8,family-sponsored,yes
female,group E,bachelor's degree,71,70,70,70.33333333,C,volunteering,5,family-sponsored,yes
female,group B,high school,64,73,71,69.33333333,C,volunteering,7.4,family-sponsored,no
male,group D,bachelor's degree,55,46,44,48.33333333,F,multiple,6.4,scholarship,no
female,group E,associate's degree,51,51,54,52,C,volunteering,8.8,government-funded,no
female,group C,associate's degree,62,76,80,72.66666667,C,none,9,family-sponsored,yes
female,group E,associate's degree,93,100,95,96,A,multiple,6,scholarship,yes
male,group C,high school,54,72,59,61.66666667,C,multiple,6,family-sponsored,no
female,group D,some college,69,65,74,69.33333333,C,arts,7.8,family-sponsored,no
male,group D,high school,44,51,48,47.66666667,F,volunteering,5.1,self-funded,no
female,group E,some college,86,85,91,87.33333333,B,none,5.2,government-funded,yes
female,group E,associate's degree,85,92,85,87.33333333,B,multiple,8.5,self-funded,no
female,group A,master's degree,50,67,73,63.33333333,C,volunteering,7.5,self-funded,no
male,group D,some high school,88,74,75,79,B,multiple,5.5,self-funded,yes
female,group E,associate's degree,59,62,69,63.33333333,C,multiple,7.7,family-sponsored,no
female,group E,some high school,32,34,38,34.66666667,F,multiple,8,scholarship,no
male,group B,high school,36,29,27,30.66666667,F,none,6.7,scholarship,no
female,group B,some high school,63,78,79,73.33333333,C,arts,5.7,government-funded,yes
male,group D,associate's degree,67,54,63,61.33333333,C,sports,6.1,self-funded,yes
female,group D,some high school,65,78,82,75,B,volunteering,6.7,family-sponsored,yes
male,group D,master's degree,85,84,89,86,B,sports,7.2,government-funded,no
female,group C,master's degree,73,78,74,75,B,sports,7.5,scholarship,no
female,group A,high school,34,48,41,41,F,arts,6.3,government-funded,yes
female,group D,bachelor's degree,93,100,100,97.66666667,A,sports,7.8,government-funded,yes
female,group D,some high school,67,84,84,78.33333333,B,volunteering,5.2,scholarship,no
male,group D,some college,88,77,77,80.66666667,B,multiple,7.6,government-funded,no
male,group B,high school,57,48,51,52,C,volunteering,6.3,scholarship,no
female,group D,some college,79,84,91,84.66666667,B,volunteering,7.6,family-sponsored,yes
female,group C,bachelor's degree,67,75,72,71.33333333,C,none,8.9,scholarship,no
male,group E,bachelor's degree,70,64,70,68,C,volunteering,6.3,family-sponsored,yes
male,group D,bachelor's degree,50,42,48,46.66666667,F,none,5.1,government-funded,no
female,group A,some college,69,84,82,78.33333333,B,none,8,self-funded,no
female,group C,bachelor's degree,52,61,66,59.66666667,C,arts,7.2,self-funded,yes
female,group C,bachelor's degree,47,62,66,58.33333333,C,volunteering,8.8,self-funded,yes
female,group B,associate's degree,46,61,55,54,C,none,5.5,self-funded,no
female,group E,some college,68,70,66,68,C,volunteering,7.4,self-funded,no
male,group E,bachelor's degree,100,100,100,100,A,multiple,7.9,scholarship,yes
female,group C,high school,44,61,52,52.33333333,C,sports,8.5,scholarship,no
female,group C,associate's degree,57,77,80,71.33333333,C,sports,5.1,government-funded,yes
male,group B,some college,91,96,91,92.66666667,A,none,7.6,family-sponsored,yes
male,group D,high school,69,70,67,68.66666667,C,volunteering,7.1,government-funded,no
female,group C,high school,35,53,46,44.66666667,F,none,5.3,family-sponsored,no
male,group D,high school,72,66,66,68,C,none,8.8,self-funded,no
female,group B,associate's degree,54,65,65,61.33333333,C,volunteering,5,family-sponsored,no
male,group D,high school,74,70,69,71,C,sports,8.4,self-funded,no
male,group E,some high school,74,64,60,66,C,arts,7.7,government-funded,yes
male,group E,associate's degree,64,56,52,57.33333333,C,volunteering,8.8,family-sponsored,no
female,group D,high school,65,61,71,65.66666667,C,volunteering,8.1,family-sponsored,yes
male,group E,associate's degree,46,43,44,44.33333333,F,multiple,8.3,self-funded,yes
female,group C,some high school,48,56,51,51.66666667,C,none,7.3,government-funded,no
male,group C,some college,67,74,70,70.33333333,C,none,8.7,government-funded,yes
male,group D,some college,62,57,62,60.33333333,C,none,8.8,scholarship,no
male,group D,associate's degree,61,71,73,68.33333333,C,multiple,8.5,self-funded,yes
male,group C,bachelor's degree,70,75,74,73,C,sports,8.7,self-funded,yes
male,group C,associate's degree,98,87,90,91.66666667,A,none,7.5,government-funded,yes
male,group D,some college,70,63,58,63.66666667,C,multiple,5.4,family-sponsored,no
male,group A,associate's degree,67,57,53,59,C,multiple,6,family-sponsored,no
female,group E,high school,57,58,57,57.33333333,C,sports,7.9,self-funded,no
male,group D,some college,85,81,85,83.66666667,B,arts,5.7,family-sponsored,yes
male,group D,some high school,77,68,69,71.33333333,C,none,7.2,self-funded,yes
male,group C,master's degree,72,66,72,70,C,volunteering,8.3,government-funded,yes
female,group D,master's degree,78,91,96,88.33333333,B,multiple,5.6,government-funded,no
male,group C,high school,81,66,64,70.33333333,C,arts,6.1,self-funded,no
male,group A,some high school,61,62,61,61.33333333,C,none,5.5,self-funded,yes
female,group B,high school,58,68,61,62.33333333,C,sports,8.9,government-funded,no
female,group C,associate's degree,54,61,58,57.66666667,C,multiple,7.9,scholarship,no
male,group B,high school,82,82,80,81.33333333,B,arts,5.3,family-sponsored,no
female,group D,some college,49,58,60,55.66666667,C,sports,5.9,family-sponsored,no
male,group B,some high school,49,50,52,50.33333333,C,multiple,6.8,family-sponsored,yes
female,group E,high school,57,75,73,68.33333333,C,none,5.2,self-funded,yes
male,group E,high school,94,73,71,79.33333333,B,none,7.5,self-funded,no
female,group D,some college,75,77,83,78.33333333,B,arts,9,family-sponsored,yes
female,group E,some high school,74,74,72,73.33333333,C,arts,8.4,self-funded,no
male,group C,high school,58,52,54,54.66666667,C,none,7.9,government-funded,yes
female,group C,some college,62,69,69,66.66666667,C,multiple,8.4,family-sponsored,no
male,group E,associate's degree,72,57,62,63.66666667,C,volunteering,7.2,family-sponsored,no
male,group C,some college,84,87,81,84,B,multiple,7.5,government-funded,no
female,group D,master's degree,92,100,100,97.33333333,A,sports,7.9,self-funded,no
female,group D,high school,45,63,59,55.66666667,C,multiple,5.8,scholarship,no
male,group C,high school,75,81,71,75.66666667,B,sports,7.5,family-sponsored,no
female,group A,some college,56,58,64,59.33333333,C,arts,7.1,family-sponsored,no
female,group D,some high school,48,54,53,51.66666667,C,multiple,6,government-funded,no
female,group E,associate's degree,100,100,100,100,A,sports,7,self-funded,no
female,group C,some high school,65,76,75,72,C,sports,5.4,scholarship,yes
male,group D,some college,72,57,58,62.33333333,C,arts,6,government-funded,no
female,group D,some college,62,70,72,68,C,sports,7.9,self-funded,no
male,group A,some high school,66,68,64,66,C,sports,6.7,self-funded,yes
male,group C,some college,63,63,60,62,C,none,8.5,family-sponsored,no
female,group E,associate's degree,68,76,67,70.33333333,C,arts,7.5,scholarship,no
female,group B,bachelor's degree,75,84,80,79.66666667,B,none,5.3,scholarship,no
female,group D,bachelor's degree,89,100,100,96.33333333,A,sports,6.4,family-sponsored,no
male,group C,some high school,78,72,69,73,C,sports,8.3,self-funded,yes
female,group A,high school,53,50,60,54.33333333,C,volunteering,7.9,self-funded,yes
female,group D,some college,49,65,61,58.33333333,C,multiple,7.1,government-funded,no
female,group A,some college,54,63,67,61.33333333,C,none,6.4,scholarship,no
female,group C,some college,64,82,77,74.33333333,C,multiple,6.5,government-funded,yes
male,group B,some college,60,62,60,60.66666667,C,multiple,7.9,self-funded,yes
male,group C,associate's degree,62,65,58,61.66666667,C,multiple,7.1,self-funded,no
male,group D,high school,55,41,48,48,F,none,8.8,self-funded,yes
female,group C,associate's degree,91,95,94,93.33333333,A,none,9,family-sponsored,no
female,group B,high school,8,24,23,18.33333333,F,multiple,5.8,scholarship,no
male,group D,some high school,81,78,78,79,B,none,5,government-funded,no
male,group B,some high school,79,85,86,83.33333333,B,none,6.6,government-funded,yes
female,group A,some college,78,87,91,85.33333333,B,sports,6.6,family-sponsored,yes
female,group C,some high school,74,75,82,77,B,arts,5.3,government-funded,no
male,group A,high school,57,51,54,54,C,arts,6.2,government-funded,no
female,group C,associate's degree,40,59,51,50,C,multiple,6.5,family-sponsored,no
male,group E,some high school,81,75,76,77.33333333,B,multiple,6.5,self-funded,yes
female,group A,some high school,44,45,45,44.66666667,F,arts,6.4,government-funded,no
female,group D,some college,67,86,83,78.66666667,B,volunteering,6.1,family-sponsored,yes
male,group E,high school,86,81,75,80.66666667,B,arts,5.4,government-funded,yes
female,group B,some high school,65,82,78,75,B,multiple,7.5,government-funded,yes
female,group D,associate's degree,55,76,76,69,C,arts,8.8,family-sponsored,no
female,group D,bachelor's degree,62,72,74,69.33333333,C,none,7.4,scholarship,no
male,group A,high school,63,63,62,62.66666667,C,arts,5.8,government-funded,no
female,group E,master's degree,88,99,95,94,A,none,8.7,scholarship,yes
male,group C,high school,62,55,55,57.33333333,C,none,8,self-funded,no
female,group C,high school,59,71,65,65,C,none,5.2,family-sponsored,yes
female,group D,some college,68,78,77,74.33333333,C,sports,7.4,scholarship,yes
female,group D,some college,77,86,86,83,B,arts,7.9,family-sponsored,no
